age,monthly_income,daily_internet_hours,smartphone_usage_years,social_media_hours,online_payment_trust_score,tech_savvy_score,monthly_online_orders,monthly_store_visits,avg_online_spend,avg_store_spend,discount_sensitivity,return_frequency,avg_delivery_days,delivery_fee_sensitivity,free_return_importance,product_availability_online,impulse_buying_score,need_touch_feel_score,brand_loyalty_score,environmental_awareness,time_pressure_level,gender,city_tier,shopping_preference,Total_Monthly_AvgSpend,Total_Saving
46,181742,5.4,5,2.8,8,8,32,4,76497,88015,8,0,6,2,4,6,3,10,8,8,1,Other,Tier 1,Store,164512,193260
63,208219,3,9,2.9,8,6,47,7,33340,75941,5,3,2,10,5,2,3,7,1,1,3,Female,Tier 1,Store,109281,250820
70,244171,4.5,9,0.7,6,2,8,6,110725,126707,1,8,2,8,8,4,4,6,1,6,7,Other,Tier 1,Store,237432,260153
23,126695,2.9,13,4.6,2,7,23,12,99427,71285,3,5,5,7,6,10,3,6,10,10,5,Other,Tier 3,Store,170712,98553
52,182558,6.9,11,1.9,10,6,12,2,59664,27010,5,4,4,6,4,6,2,8,3,2,3,Other,Tier 2,Store,86674,149904
77,211629,7.7,7,5.9,10,4,29,13,114982,109599,5,4,5,5,8,2,6,9,6,2,3,Male,Tier 2,Store,224581,206246
58,49268,5.1,2,1.3,6,9,45,16,118417,81501,9,3,7,3,3,10,6,2,9,1,2,Female,Tier 1,Store,199918,12352
54,122338,3.9,8,1.1,1,4,42,6,45282,14099,3,4,5,5,2,8,8,7,1,7,2,Other,Tier 2,Hybrid,59381,91155
41,227407,6.6,12,2.9,6,1,32,8,94254,27321,5,1,4,7,1,1,10,9,7,8,7,Male,Tier 2,Store,121575,160474
46,41336,4.3,5,3.7,6,3,45,9,34834,18452,2,8,7,4,1,7,2,1,4,7,5,Male,Tier 3,Online,53286,24954
66,18641,7.3,13,4.2,6,8,23,9,139492,20700,2,2,4,5,2,1,4,1,2,3,7,Male,Tier 2,Online,160192,-100151
63,102132,9.9,11,1.2,9,3,19,12,76084,124021,5,0,4,10,9,4,9,7,9,6,8,Female,Tier 3,Store,200105,150069
70,47959,4.2,8,2.1,4,7,49,9,9734,13255,9,1,2,5,10,1,2,2,2,10,3,Female,Tier 1,Online,22989,51480
48,159378,4.5,2,4.9,7,1,0,5,40834,117094,2,4,7,2,1,8,10,5,2,5,4,Male,Tier 2,Store,157928,235638
52,192254,3.1,14,2,3,4,22,13,114999,96553,8,9,6,2,4,3,8,10,7,3,10,Male,Tier 2,Store,211552,173808
77,89123,6.3,7,3.7,8,4,32,4,56566,126605,3,4,5,1,6,10,6,10,4,9,4,Male,Tier 2,Store,183171,159162
50,202398,6.2,5,0,2,9,16,12,144030,41589,3,2,2,1,8,2,3,8,10,9,2,Female,Tier 3,Store,185619,99957
69,242967,5.5,4,0.4,2,1,1,7,71720,49236,2,5,4,2,6,10,2,2,3,10,3,Other,Tier 2,Store,120956,220483
78,36498,6,10,3.8,5,9,30,8,26937,56719,4,3,6,7,3,1,7,7,7,5,7,Female,Tier 1,Store,83656,66280
38,85198,3.9,13,2.3,1,10,30,19,90098,56834,7,1,4,5,7,10,3,2,9,10,7,Male,Tier 2,Store,146932,51934
49,248702,2.7,6,3.5,1,8,15,9,47200,66629,5,3,3,5,6,1,3,8,8,10,7,Male,Tier 1,Store,113829,268131
40,42197,4.5,5,1.7,3,10,36,0,110181,9178,3,4,3,1,1,10,6,8,10,6,9,Other,Tier 2,Online,119359,-58806
50,166791,2.2,6,0.3,6,6,36,4,26108,77722,8,5,2,8,3,7,5,8,6,10,6,Other,Tier 3,Store,103830,218405
20,236273,4.2,9,2.6,10,4,6,19,87333,3007,8,0,3,1,5,4,8,7,10,1,1,Female,Tier 2,Hybrid,90340,151947
35,123775,6.6,1,0.7,6,6,35,3,49064,147201,8,6,3,10,2,8,1,2,7,1,1,Other,Tier 3,Store,196265,221912
42,40032,6.1,13,2.7,8,6,0,0,5968,117308,4,0,3,5,1,8,6,3,1,2,9,Male,Tier 2,Store,123276,151372
59,74624,2.5,11,1.2,7,2,29,18,58785,74785,3,3,1,8,10,4,8,10,8,9,4,Male,Tier 1,Store,133570,90624
48,93177,8.1,1,3.3,1,7,17,18,111955,134939,8,9,5,2,4,9,7,7,6,8,4,Female,Tier 1,Store,246894,116161
71,56964,5.6,13,2.1,1,9,41,14,1259,24750,6,3,5,6,7,2,9,5,10,6,7,Other,Tier 2,Store,26009,80455
75,176100,3.4,6,2.1,4,8,38,10,133201,45325,7,0,5,4,1,10,3,7,10,6,6,Other,Tier 3,Store,178526,88224
20,126030,5.3,2,2.9,1,3,25,4,51535,58371,1,8,5,6,7,1,8,5,1,8,4,Female,Tier 3,Store,109906,132866
57,69646,4.8,8,3.7,1,8,10,2,138957,139125,10,8,7,2,1,8,1,1,1,5,7,Other,Tier 1,Store,278082,69814
63,96187,4.3,7,2.7,10,4,0,16,98885,70852,6,2,4,7,5,2,3,4,7,1,5,Female,Tier 1,Store,169737,68154
41,154608,7.6,6,4.8,1,10,37,15,88935,100402,3,3,3,1,5,2,7,5,1,2,2,Male,Tier 1,Store,189337,166075
67,132399,3.8,4,4.8,3,1,4,7,23494,142220,7,0,4,2,2,2,4,1,9,8,2,Female,Tier 3,Store,165714,251125
49,71747,6.4,9,1.6,10,3,21,19,72022,46518,3,0,5,6,5,5,5,9,1,1,5,Other,Tier 3,Store,118540,46243
64,60712,3.3,7,1,2,1,12,2,22587,43993,2,2,5,5,6,5,8,2,10,6,3,Other,Tier 2,Store,66580,82118
39,152345,5.9,7,0.9,10,5,16,11,136676,116566,3,4,2,6,3,4,10,5,3,6,2,Male,Tier 1,Store,253242,132235
40,86820,6.5,5,4.8,8,10,49,7,107854,93174,10,8,7,1,1,6,3,1,3,4,8,Female,Tier 3,Store,201028,72140
19,140342,6.5,1,0.9,7,9,6,14,29016,67214,7,8,7,1,2,9,8,1,4,5,4,Female,Tier 2,Store,96230,178540
44,106228,6.2,14,2,10,7,37,10,41629,46100,1,1,7,6,6,5,3,1,3,6,2,Female,Tier 2,Store,87729,110699
59,89353,5.5,14,2.5,8,3,6,12,105851,99656,9,9,7,3,3,6,4,9,9,5,5,Female,Tier 2,Store,205507,83158
19,240563,3.9,2,4.8,4,7,11,7,53421,136149,8,4,7,7,3,1,9,5,5,2,8,Female,Tier 3,Store,189570,323291
43,107091,3.9,8,0.8,9,8,37,12,79459,19723,9,9,6,4,1,5,6,7,9,6,2,Female,Tier 2,Hybrid,99182,47355
34,100914,6.6,11,3.9,5,4,22,15,131795,145021,3,2,2,10,6,6,3,3,6,4,2,Other,Tier 2,Store,276816,114140
57,196902,3.5,5,2.5,7,3,47,17,142534,48783,9,5,2,7,4,1,6,8,10,4,6,Male,Tier 3,Store,191317,103151
50,121718,3,2,2.3,4,2,7,15,91095,45405,3,2,4,5,3,7,1,4,4,6,1,Male,Tier 1,Store,136500,76028
26,163199,8.9,12,2.5,1,8,14,12,8599,44450,5,1,3,7,5,4,2,7,2,8,3,Female,Tier 2,Store,53049,199050
60,229560,5.5,5,1.6,8,3,29,13,121859,34048,5,9,3,10,4,6,6,8,6,4,2,Male,Tier 2,Store,155907,141749
71,26539,7.3,8,2,9,7,8,7,109897,115262,9,2,2,3,2,5,5,3,6,5,3,Male,Tier 2,Store,225159,31904
65,192833,7.7,4,1.6,9,2,44,19,83409,51517,1,1,5,8,9,4,4,3,6,4,2,Other,Tier 1,Store,134926,160941
56,61219,6.1,3,0.8,10,5,20,1,46222,8464,2,0,5,7,7,5,2,3,5,10,1,Male,Tier 3,Online,54686,23461
46,160764,5.2,5,1,8,5,43,19,78901,117471,6,6,7,5,4,3,9,6,10,5,5,Male,Tier 3,Store,196372,199334
59,229728,5.3,13,4,1,9,13,7,73630,109505,5,5,5,3,4,9,2,10,8,6,3,Other,Tier 3,Store,183135,265603
72,28334,9.2,7,2,3,8,7,5,26250,99660,4,3,6,10,5,1,1,5,8,8,10,Female,Tier 1,Store,125910,101744
43,174687,4.9,2,3.4,5,8,46,12,77850,47738,3,2,1,10,4,9,5,9,4,1,9,Male,Tier 3,Store,125588,144575
52,22903,6.4,1,2.3,7,10,35,2,81756,143547,1,5,7,5,1,5,1,4,4,1,3,Female,Tier 3,Store,225303,84694
67,174599,7.4,13,2.2,8,2,8,6,88492,143192,9,3,4,1,4,7,5,4,1,4,9,Other,Tier 3,Store,231684,229299
42,161701,6.5,11,2.4,1,2,25,5,20130,81901,1,5,1,8,10,10,3,4,9,9,10,Male,Tier 1,Store,102031,223472
41,73008,8.2,5,3.4,5,10,19,4,71441,137536,7,8,4,6,10,7,2,2,8,9,6,Male,Tier 2,Store,208977,139103
30,229348,5.2,13,1.6,3,7,37,15,136767,31770,5,6,6,4,5,4,1,9,10,1,5,Male,Tier 1,Store,168537,124351
77,114318,7.3,13,2.3,7,4,5,2,114739,7055,2,2,5,4,6,10,9,4,7,8,6,Other,Tier 2,Online,121794,6634
75,172780,2.4,7,3.7,6,3,33,4,48431,36012,4,3,4,10,7,2,10,1,4,9,4,Other,Tier 2,Store,84443,160361
24,156932,8.7,13,3.9,1,3,22,2,5017,67513,10,8,4,1,2,1,4,6,7,7,3,Male,Tier 2,Store,72530,219428
74,163510,8.2,8,4.4,2,7,38,14,129456,84610,2,5,3,1,1,10,3,9,1,1,8,Male,Tier 2,Store,214066,118664
53,82300,5.4,11,1.2,5,1,32,1,36563,135382,7,1,4,8,5,7,7,7,8,3,3,Female,Tier 2,Store,171945,181119
62,144263,6.9,8,1.7,5,4,20,14,106533,59816,4,9,3,6,6,2,4,9,3,9,5,Female,Tier 1,Store,166349,97546
37,217617,7.8,10,2.2,1,6,40,12,98566,61682,8,7,5,4,5,2,4,3,7,6,2,Other,Tier 2,Store,160248,180733
18,35842,3.9,9,0.8,4,9,25,1,74040,138543,1,2,1,3,4,6,3,6,1,6,6,Female,Tier 3,Store,212583,100345
25,206285,5.7,11,3.6,9,1,4,17,57505,84021,9,2,3,1,2,5,7,8,5,7,3,Female,Tier 2,Store,141526,232801
63,57372,3.4,11,2.9,9,1,8,9,99122,68510,8,4,1,9,3,5,3,3,10,6,9,Female,Tier 3,Store,167632,26760
33,129316,8.3,12,2.3,5,2,44,3,55974,146709,7,8,3,10,2,2,8,5,8,4,1,Male,Tier 2,Store,202683,220051
31,113971,7.6,1,3.8,7,7,32,1,120531,117647,8,9,7,3,10,7,4,5,6,1,9,Male,Tier 3,Store,238178,111087
29,214978,5.4,7,1.5,2,7,24,19,23667,44280,4,6,2,7,5,8,9,8,7,4,7,Female,Tier 1,Store,67947,235591
68,53744,5.2,10,4,1,5,46,13,148981,52739,7,7,1,4,4,1,1,6,4,1,5,Male,Tier 2,Store,201720,-42498
40,131082,5.7,8,4.8,2,4,16,2,2988,99097,5,6,3,8,1,4,1,5,10,4,6,Male,Tier 3,Store,102085,227191
32,72442,4.2,6,2.9,4,10,39,11,45705,111325,7,7,3,8,9,9,7,4,5,7,9,Female,Tier 2,Store,157030,138062
45,144070,5.7,10,2.5,6,6,46,4,132659,66646,5,7,2,5,7,10,1,1,9,4,1,Female,Tier 2,Store,199305,78057
51,100990,3.9,14,2.7,3,8,18,1,122948,9121,2,1,3,10,10,6,2,2,1,5,1,Other,Tier 1,Online,132069,-12837
19,136670,7.8,12,0.7,2,7,10,13,97690,111775,10,1,3,3,7,1,8,4,10,7,10,Female,Tier 2,Store,209465,150755
49,121917,8.3,4,2.2,7,2,7,4,17482,98040,10,8,5,5,1,6,7,7,4,3,10,Male,Tier 1,Store,115522,202475
40,249975,7.9,7,5.2,8,2,5,6,44093,97953,5,3,3,2,5,5,9,9,9,5,9,Male,Tier 3,Store,142046,303835
39,18650,3.6,3,5.3,9,6,5,14,90032,106727,3,5,2,10,4,8,2,3,4,3,3,Other,Tier 2,Store,196759,35345
68,60117,5.6,2,2.6,10,1,7,18,144815,101098,5,6,1,6,2,6,8,8,3,9,6,Female,Tier 1,Store,245913,16400
42,106244,7.2,6,1.8,8,5,23,18,30641,76084,5,0,6,7,2,3,10,1,2,8,6,Female,Tier 2,Store,106725,151687
75,198844,7.5,2,3.8,2,1,18,16,144923,18704,6,7,5,6,8,6,10,7,4,9,8,Other,Tier 1,Store,163627,72625
79,18190,2.3,6,2.5,3,7,40,15,139415,34293,8,0,4,9,1,2,4,1,6,4,8,Other,Tier 2,Store,173708,-86932
78,63113,7.5,10,3.7,1,3,26,7,145562,124210,8,9,6,5,8,4,4,2,4,10,8,Female,Tier 1,Store,269772,41761
39,154861,3.5,3,1.5,1,9,19,12,25194,130199,2,7,7,8,9,1,3,1,9,9,9,Male,Tier 1,Store,155393,259866
75,47125,5.7,14,2.9,6,5,23,10,126351,64665,6,0,1,9,10,2,1,6,6,4,10,Male,Tier 3,Store,191016,-14561
75,244767,8.5,2,2,3,1,37,0,27115,136421,8,1,3,10,5,6,10,7,4,3,5,Other,Tier 3,Store,163536,354073
39,145000,8.2,13,2.5,4,10,4,17,66963,88139,10,1,4,6,1,4,2,1,2,2,8,Male,Tier 2,Store,155102,166176
66,163531,8.7,8,1.8,10,4,15,6,84258,84731,2,3,2,5,2,10,8,8,5,7,3,Other,Tier 1,Store,168989,164004
69,181490,3.9,4,2.3,8,8,38,19,14027,58383,5,1,4,4,6,8,2,8,10,3,10,Female,Tier 2,Store,72410,225846
59,126904,4.4,12,2.9,5,7,32,2,39304,23927,2,5,7,3,1,10,1,1,10,4,4,Other,Tier 1,Online,63231,111527
23,193157,4.9,14,3.4,6,6,9,19,137542,128409,10,6,2,7,1,8,7,2,2,8,9,Female,Tier 3,Store,265951,184024
32,33768,5.7,4,2.3,9,9,4,15,82579,42565,2,0,1,10,4,10,8,5,1,5,1,Male,Tier 1,Store,125144,-6246
71,196033,6.4,7,4.4,2,4,18,3,51477,17843,3,1,1,2,3,5,6,7,4,9,5,Other,Tier 2,Store,69320,162399
60,96099,8.6,8,0.8,3,10,40,12,78759,7394,5,6,5,3,8,8,2,2,3,8,10,Male,Tier 1,Online,86153,24734
77,173957,4.1,12,0.6,5,1,20,0,21317,90476,6,2,5,10,8,4,9,4,1,4,9,Female,Tier 2,Store,111793,243116
54,102421,4.7,13,1.7,2,10,2,0,74494,22331,5,4,3,3,1,7,10,4,4,7,10,Other,Tier 3,Hybrid,96825,50258
50,207154,8.8,9,2.5,8,6,27,11,54078,145330,8,1,3,10,4,6,10,3,7,9,9,Male,Tier 2,Store,199408,298406
25,21895,3.7,10,4.6,2,4,40,12,52549,103776,7,2,3,2,6,5,8,9,6,4,8,Female,Tier 1,Store,156325,73122
70,196383,7.5,8,2.3,4,1,18,6,119028,15254,5,9,7,2,5,5,8,2,7,2,10,Female,Tier 1,Hybrid,134282,92609
77,235566,5.8,14,1.3,3,10,15,2,116252,8644,8,5,7,5,7,5,1,5,3,2,8,Other,Tier 1,Online,124896,127958
61,213139,6.8,4,1.7,4,3,1,3,4969,118038,4,6,4,8,6,3,1,8,7,4,2,Other,Tier 1,Store,123007,326208
61,86017,4.4,2,2.6,4,1,7,0,102852,66727,4,3,5,2,8,7,7,8,10,8,3,Other,Tier 3,Store,169579,49892
22,38932,7.4,10,1.1,6,5,45,17,95359,140677,6,9,6,6,2,3,6,2,3,6,8,Male,Tier 3,Store,236036,84250
56,36360,4.7,5,5,10,8,37,4,89268,12127,5,7,1,6,8,5,3,5,6,4,1,Female,Tier 1,Online,101395,-40781
21,69847,3.2,7,0,10,2,11,19,14946,775,6,1,5,10,8,9,8,9,6,4,7,Other,Tier 2,Store,15721,55676
23,105365,7,2,1.5,10,6,23,10,82257,128098,2,3,7,2,7,6,3,9,3,4,5,Female,Tier 3,Store,210355,151206
62,100468,1,4,1.8,9,6,0,2,131274,134318,1,4,5,1,6,9,9,3,2,8,8,Other,Tier 1,Store,265592,103512
49,53931,4.9,6,1.2,3,5,17,17,122926,126775,7,2,7,5,1,7,9,7,5,6,6,Other,Tier 1,Store,249701,57780
69,70823,6.6,8,3.4,1,7,22,16,98363,53389,2,3,7,3,8,10,1,6,2,6,4,Other,Tier 1,Store,151752,25849
47,53032,7.5,10,1.6,8,1,38,13,31236,66304,3,4,7,3,1,4,2,5,4,1,1,Female,Tier 2,Store,97540,88100
64,227498,8.5,13,3.3,7,10,26,0,132729,99720,3,4,6,5,1,6,9,2,8,4,9,Male,Tier 2,Store,232449,194489
52,33807,9.6,6,4.6,2,4,43,16,101423,60370,9,3,5,9,10,5,5,8,5,3,9,Male,Tier 2,Store,161793,-7246
72,157839,8.9,6,4.1,5,6,43,6,1835,87528,4,6,1,6,5,6,9,2,5,3,2,Other,Tier 3,Store,89363,243532
57,154143,6.4,6,2.7,10,4,5,15,49845,82401,6,1,1,3,9,7,4,10,9,4,9,Female,Tier 1,Store,132246,186699
69,68413,8.3,4,2.5,4,6,27,0,102770,86698,8,4,1,8,8,6,4,10,10,10,8,Male,Tier 1,Store,189468,52341
33,172221,6.4,13,3.6,9,2,22,14,114787,126790,6,2,1,8,4,2,7,10,10,1,2,Other,Tier 3,Store,241577,184224
30,30540,7.4,3,2.1,4,9,33,1,130711,30164,6,8,3,10,4,7,9,9,9,2,2,Other,Tier 2,Store,160875,-70007
67,247284,4.8,1,1.9,5,4,24,1,57355,102666,10,3,3,2,10,7,8,1,9,9,10,Other,Tier 2,Store,160021,292595
77,85248,6.9,2,1.2,8,5,10,4,88521,22713,2,2,2,2,9,2,9,6,3,4,4,Other,Tier 2,Store,111234,19440
59,237809,5.1,2,2.9,3,7,47,3,130428,55309,8,5,3,8,7,1,1,1,9,3,5,Male,Tier 1,Store,185737,162690
47,125494,5.7,10,1.1,6,8,0,2,22189,13375,1,8,6,3,5,6,4,1,2,8,2,Male,Tier 1,Online,35564,116680
36,100435,6.9,7,1.6,6,1,37,7,68132,77413,7,3,7,2,2,3,2,9,10,10,9,Female,Tier 3,Store,145545,109716
34,34787,10.2,11,5.2,7,7,9,13,76501,149798,9,1,1,5,9,5,7,5,10,3,2,Male,Tier 3,Store,226299,108084
73,35982,6.8,14,3.4,9,10,8,5,128680,27469,9,7,6,10,7,2,3,5,8,4,1,Male,Tier 1,Hybrid,156149,-65229
36,37606,6,6,3,3,9,25,10,72102,91288,10,1,7,10,8,4,9,7,8,6,2,Other,Tier 2,Store,163390,56792
45,156222,4.3,8,1.6,5,2,9,4,116810,77788,3,3,2,4,10,5,5,10,4,5,8,Male,Tier 1,Store,194598,117200
75,232001,7.8,9,3.5,5,2,17,4,143972,93723,1,1,2,10,10,1,2,9,5,9,1,Female,Tier 1,Store,237695,181752
72,248867,5.3,5,1.2,5,4,49,13,92394,77582,8,8,5,3,1,7,5,10,7,6,7,Male,Tier 2,Store,169976,234055
43,127223,6.7,11,0.5,6,1,8,16,119501,38319,3,0,4,3,4,1,7,3,2,3,2,Male,Tier 1,Store,157820,46041
54,61936,7.4,3,1.8,1,9,44,18,19707,118883,8,0,5,7,2,6,5,6,4,8,6,Other,Tier 3,Store,138590,161112
43,108286,8.5,4,1,9,5,25,10,144353,134439,10,6,2,8,9,2,4,1,2,5,7,Other,Tier 1,Store,278792,98372
70,154665,7.7,14,3.1,3,3,41,6,1919,80552,7,6,3,10,3,10,7,10,5,1,4,Female,Tier 2,Store,82471,233298
79,163430,3.6,11,3,6,6,8,12,74836,107731,8,7,7,3,8,5,6,10,10,6,9,Male,Tier 3,Store,182567,196325
40,228215,2.6,8,2.8,4,7,35,18,26592,24262,5,2,4,5,2,9,10,4,10,6,4,Male,Tier 2,Store,50854,225885
26,52381,7.4,3,3.3,7,4,14,17,65331,50619,4,3,2,2,2,7,4,3,9,9,10,Male,Tier 3,Store,115950,37669
29,136465,6.2,2,3.2,8,2,23,15,34666,58774,9,2,7,9,1,9,7,5,7,5,9,Other,Tier 2,Store,93440,160573
70,236419,6.8,7,1.6,4,5,39,11,124045,12836,2,9,4,9,5,5,1,10,10,3,2,Other,Tier 1,Store,136881,125210
18,43074,9.4,14,3.1,10,7,1,14,12876,102017,3,1,2,4,6,7,4,10,2,2,6,Male,Tier 3,Store,114893,132215
75,166667,4.8,4,2.9,6,10,3,0,6166,71342,2,5,5,5,5,8,1,2,10,1,1,Male,Tier 3,Store,77508,231843
75,59194,8.6,13,1.7,10,10,37,10,131166,126546,2,2,7,2,8,8,8,3,2,1,1,Other,Tier 3,Store,257712,54574
18,195449,4.8,8,2,7,3,30,6,78672,2579,4,3,6,5,2,10,4,10,6,3,8,Female,Tier 1,Online,81251,119356
64,41853,9.1,1,3.6,10,2,19,15,130981,44235,6,0,4,2,2,8,1,10,5,4,1,Other,Tier 1,Store,175216,-44893
51,88719,7.5,8,0.8,7,2,38,8,25309,107913,4,7,2,7,7,7,8,8,2,1,2,Female,Tier 2,Store,133222,171323
49,166733,3,5,2.9,9,4,44,19,85327,64048,7,1,7,3,10,3,6,1,6,1,9,Other,Tier 1,Store,149375,145454
79,196565,5.2,12,2.4,8,4,25,8,83099,124948,8,8,4,3,2,10,2,4,3,2,4,Male,Tier 2,Store,208047,238414
71,133724,9.8,2,2.5,3,5,4,11,73806,77094,7,6,2,3,5,4,2,1,5,8,6,Male,Tier 3,Store,150900,137012
65,182567,9.6,1,2.1,4,3,3,18,128566,85634,4,6,2,7,3,7,8,4,7,7,1,Female,Tier 3,Store,214200,139635
42,28703,7.2,13,3,9,1,21,13,25045,32502,1,0,4,10,2,1,1,7,2,5,9,Other,Tier 2,Store,57547,36160
57,199152,6.7,6,0.5,7,4,5,11,87315,116908,5,1,3,5,10,5,6,1,9,8,3,Other,Tier 2,Store,204223,228745
62,176887,6.5,14,2.8,7,1,36,8,107403,67371,3,4,2,4,8,8,5,9,6,1,7,Male,Tier 2,Store,174774,136855
70,175637,6.9,9,1.1,1,8,30,11,110038,123441,7,2,3,5,6,1,1,9,9,2,7,Male,Tier 1,Store,233479,189040
18,209393,5.7,9,3.8,2,5,4,12,82515,90373,4,7,6,7,8,3,8,2,1,10,1,Other,Tier 2,Store,172888,217251
33,132491,8.4,9,0.8,1,2,6,4,102440,116539,10,8,2,3,5,9,3,5,4,8,3,Female,Tier 3,Store,218979,146590
78,73453,7.2,11,0,4,5,4,4,100719,98219,5,3,6,3,9,2,1,3,8,6,9,Male,Tier 3,Store,198938,70953
56,103478,4.1,4,0.3,4,5,3,8,74114,65699,9,5,2,7,5,3,7,10,5,8,8,Male,Tier 3,Store,139813,95063
22,48161,7.3,6,2.4,5,1,26,18,70040,14200,3,8,2,1,3,6,4,10,1,9,5,Other,Tier 3,Store,84240,-7679
39,202063,6.3,14,0.5,5,5,8,19,57228,144352,9,4,3,2,5,10,5,2,9,7,4,Other,Tier 3,Store,201580,289187
46,129296,5.4,12,0.8,1,8,36,5,100424,3201,1,6,2,8,5,7,4,4,7,9,3,Other,Tier 2,Online,103625,32073
72,155788,9.8,10,1.6,7,10,1,7,51754,65308,4,1,3,6,10,4,2,3,10,5,10,Other,Tier 2,Store,117062,169342
20,48349,6.2,6,3.2,6,2,48,17,108026,36527,2,3,5,9,1,5,9,1,6,2,5,Other,Tier 3,Store,144553,-23150
29,62098,2.1,5,1.5,8,8,18,12,91896,114469,7,8,4,5,1,2,2,1,2,8,8,Other,Tier 1,Store,206365,84671
43,123435,5.5,2,2.2,4,8,38,15,98630,91700,3,9,3,7,10,2,7,5,7,3,6,Other,Tier 2,Store,190330,116505
33,146204,8,7,2.2,1,1,16,19,87226,127694,4,1,1,10,2,9,1,8,9,8,7,Male,Tier 3,Store,214920,186672
68,66990,4.1,13,0.6,3,4,16,4,16439,58373,7,3,2,8,7,4,9,8,7,9,3,Female,Tier 3,Store,74812,108924
54,83921,7.9,1,3,9,5,47,10,56825,17820,6,8,4,8,6,1,7,2,7,3,1,Other,Tier 2,Online,74645,44916
39,182610,4,6,5.4,10,10,39,16,43375,118892,4,8,7,8,7,2,7,5,6,9,7,Other,Tier 2,Store,162267,258127
74,115572,8.7,5,0.3,7,8,49,9,147837,103481,7,5,4,1,9,3,8,10,10,1,4,Female,Tier 2,Store,251318,71216
46,245351,4.9,5,1.4,2,3,23,6,15653,53926,10,5,7,1,9,8,1,2,3,1,3,Other,Tier 1,Store,69579,283624
31,22213,5.3,8,0.8,3,1,12,10,75759,20503,6,1,5,9,10,9,2,7,8,10,3,Other,Tier 3,Store,96262,-33043
45,139693,5.1,9,2.2,2,7,27,7,76673,47480,8,2,4,5,4,9,1,1,3,3,7,Female,Tier 1,Store,124153,110500
22,190295,7.2,7,0.6,4,4,45,18,100825,79618,10,0,4,8,5,8,3,3,3,6,5,Female,Tier 3,Store,180443,169088
64,106655,9.7,10,4.1,2,10,49,4,138810,82541,9,8,1,1,7,9,6,6,5,1,8,Other,Tier 2,Store,221351,50386
66,83371,6,13,4.3,4,5,44,15,41172,82044,5,1,1,9,8,4,8,3,7,9,5,Female,Tier 1,Store,123216,124243
47,83274,6,8,3.4,7,6,41,0,129529,11220,6,5,1,4,6,10,9,6,7,3,6,Male,Tier 1,Online,140749,-35035
63,122853,4.9,14,3.7,8,4,13,18,82839,95684,9,3,6,10,10,6,8,2,2,9,6,Male,Tier 2,Store,178523,135698
79,19134,2.7,2,2.6,10,1,22,9,16446,19815,4,9,1,7,10,2,3,1,5,4,4,Female,Tier 1,Store,36261,22503
69,106428,5.1,2,3.9,6,8,22,13,50218,55452,10,2,3,2,9,10,1,1,1,8,6,Male,Tier 3,Store,105670,111662
22,54601,3.5,12,2.1,9,9,9,16,44565,53424,7,9,7,6,4,6,7,7,9,6,5,Male,Tier 3,Store,97989,63460
29,88889,2.2,8,1.8,6,3,37,12,36154,14526,1,9,1,9,7,4,2,8,7,5,3,Other,Tier 1,Store,50680,67261
33,30690,5.8,6,3.4,3,10,48,15,18821,107748,4,4,4,10,7,1,7,10,8,1,3,Female,Tier 1,Store,126569,119617
43,16909,4.9,8,2,1,4,16,18,128036,89837,10,8,1,3,8,1,5,6,4,4,3,Male,Tier 1,Store,217873,-21290
43,106239,8.8,14,5.3,9,5,26,11,75344,64301,8,4,2,8,5,5,2,5,9,7,6,Female,Tier 3,Store,139645,95196
65,95032,4.3,9,3.9,3,10,10,15,108929,108957,3,5,4,5,2,9,5,5,9,10,7,Male,Tier 1,Store,217886,95060
38,27062,7.3,9,1.8,1,9,18,16,45315,116659,2,4,3,9,4,9,2,7,7,3,8,Female,Tier 1,Store,161974,98406
56,90386,7.3,11,2.3,2,5,44,14,22157,98156,3,8,1,7,3,5,4,3,5,8,2,Male,Tier 1,Store,120313,166385
53,239309,8.7,6,2.3,3,7,43,6,92776,108104,7,6,4,9,1,10,6,2,3,6,8,Male,Tier 3,Store,200880,254637
50,180803,5.6,8,1.5,8,3,43,18,75246,32058,5,4,6,1,3,2,10,1,8,3,6,Other,Tier 1,Store,107304,137615
79,151225,8.6,2,3.7,8,1,26,4,12070,43913,8,8,1,4,8,1,9,2,7,3,3,Male,Tier 1,Store,55983,183068
47,156553,7.1,8,1.4,2,6,35,14,124908,132964,1,6,6,2,9,5,8,3,8,9,4,Male,Tier 3,Store,257872,164609
54,114270,8.3,3,2.4,6,10,15,14,136019,53459,7,1,2,5,4,3,5,2,9,5,1,Other,Tier 3,Store,189478,31710
40,81425,10.8,14,1.5,2,1,22,0,11597,71362,5,7,6,2,1,1,3,10,6,6,10,Other,Tier 1,Store,82959,141190
75,209672,5.8,1,1.8,7,6,32,14,122674,149867,5,6,7,3,2,1,2,4,1,5,3,Male,Tier 3,Store,272541,236865
27,99981,6.3,7,3.5,10,8,21,2,23934,139418,5,1,6,5,9,3,2,7,9,2,9,Female,Tier 3,Store,163352,215465
71,218069,5.3,1,3.4,3,9,13,19,124039,16737,8,2,1,5,9,9,8,4,3,4,10,Female,Tier 3,Hybrid,140776,110767
22,119470,9.1,14,2,8,8,12,19,18325,44872,3,7,2,10,4,8,8,2,9,3,4,Female,Tier 3,Store,63197,146017
